idx,file,name,arms/core,num_arms,average_arms_width,max_arm_length,avg_arm_length,sum_arm_length,core_area,body_area,arms_area,core/arms,core_bounding_box,core_center,tile_row,tile_col,x,y,core_w,core_h,total_bodies_count
86,,2_3_86,16.30622009569378,7,5.798834581362549,274.8355666399002,85.74083604131427,600.1858522891998,104.5,1808.5,1704.0,0.061326291079812204,"[2796, 1178, 16, 15]","[2803, 1184]",2,3,3328,13312,16,15,1
87,,2_3_87,4.019704433497537,2,4.611109664501361,30.97056245803833,17.899494767189026,35.79898953437805,101.5,509.5,408.0,0.24877450980392157,"[2902, 2212, 14, 14]","[2908, 2218]",2,3,3328,13312,14,14,1
88,,2_3_88,7.150259067357513,5,3.632171872111253,204.16652035713196,67.26416962146759,336.32084810733795,96.5,786.5,690.0,0.1398550724637681,"[2481, 639, 12, 13]","[2486, 645]",2,3,3328,13312,12,13,1
89,,2_3_89,25.294736842105262,8,4.752961224439649,523.3157958984375,126.32006537914276,1010.5605230331421,95.0,2498.0,2403.0,0.03953391593841032,"[2919, 633, 18, 22]","[2928, 642]",2,3,3328,13312,18,22,1
90,,2_3_90,2.4756756756756757,4,2.889292222699217,12.828427076339722,8.242640554904938,32.97056221961975,92.5,321.5,229.0,0.4039301310043668,"[2908, 1589, 13, 14]","[2914, 1595]",2,3,3328,13312,13,14,1
91,,2_3_91,5.113513513513514,6,3.466562126173751,112.22539532184601,29.027753333250683,174.1665199995041,92.5,565.5,473.0,0.19556025369978858,"[2802, 789, 16, 19]","[2808, 799]",2,3,3328,13312,16,19,1
92,,2_3_92,4.269662921348314,3,3.0670046377709967,75.42640590667725,36.91337136427561,110.74011409282684,89.0,469.0,380.0,0.23421052631578948,"[2929, 3766, 12, 12]","[2934, 3771]",2,3,3328,13312,12,12,1
93,,2_3_93,7.257142857142857,3,4.435546715641451,101.32590103149414,80.20745464166005,240.62236392498016,87.5,722.5,635.0,0.1377952755905512,"[2612, 3272, 11, 16]","[2617, 3279]",2,3,3328,13312,11,16,1
94,,2_3_94,2.61271676300578,2,3.3543203766865055,37.62741661071777,24.64213538169861,49.28427076339722,86.5,312.5,226.0,0.3827433628318584,"[2830, 3569, 15, 13]","[2836, 3574]",2,3,3328,13312,15,13,1
95,,2_3_95,12.07741935483871,2,4.222536653037085,339.2619732618332,180.16652047634125,360.3330409526825,77.5,1013.5,936.0,0.0827991452991453,"[3210, 350, 16, 11]","[3217, 355]",2,3,3328,13312,16,11,1
97,,2_3_97,4.966887417218543,3,2.3300563079745773,134.12489020824432,51.755675196647644,155.26702558994293,75.5,450.5,375.0,0.20133333333333334,"[2747, 2317, 13, 23]","[2753, 2328]",2,3,3328,13312,13,23,1
98,,2_3_98,1.218543046357616,3,2.9307135789365266,37.97056245803833,20.313708305358887,60.94112491607666,75.5,167.5,92.0,0.8206521739130435,"[3963, 0, 14, 8]","[3969, 3]",2,3,3328,13312,14,8,1
